episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
1,good,bad,good/bad,0.14088898849196382,0.010583258091496016,0,7928,2072,750,330,750,660,0,330,0.0,66.56,0.0,92.0,0.0,79.28,20.72,10000,0.0,0.0,100.0,90,50,0.0,35.925925925925924,64.07407407407408,180,130,0.0,75.0,25.0,250,200,0.0,97.22222222222223,2.7777777777777777,330,250,0.0,100.0,0.0,400,310,0.0,100.0,0.0,500,380,0.0,100.0,0.0,580,470,0.0,100.0,0.0,630,510,0.0,100.0,0.0,740,620,0.0,100.0,0.0,750,660
2,bad,bad,bad/bad,0.0060197768478387524,0.01312516107892523,6430,3570,0,290,380,630,730,340,350,36.6,71.4,92.0,0.0,64.3,35.7,0.0,10000,0.0,100.0,0.0,30,190,0.0,100.0,0.0,60,290,0.0,100.0,0.0,90,450,69.44444444444444,30.555555555555557,0.0,150,510,100.0,0.0,0.0,250,560,100.0,0.0,0.0,320,580,100.0,0.0,0.0,470,600,100.0,0.0,0.0,530,650,100.0,0.0,0.0,600,710,100.0,0.0,0.0,630,730
3,good,bad,good/bad,0.15895997823171548,0.012263109859421018,3870,6130,0,670,360,950,750,280,390,77.4,30.6,0.0,92.0,38.7,61.3,0.0,10000,100.0,0.0,0.0,230,30,100.0,0.0,0.0,320,70,100.0,0.0,0.0,470,120,58.333333333333336,41.666666666666664,0.0,520,180,0.0,100.0,0.0,590,300,0.0,100.0,0.0,690,410,0.0,100.0,0.0,750,520,0.0,100.0,0.0,840,660,0.0,100.0,0.0,930,740,0.0,100.0,0.0,950,750
4,good,good,good/good,0.16618477559298744,0.12222396419606854,4783,4170,1047,690,740,990,980,300,240,24.6,83.4,71.06,0.0,47.83,41.7,10.47,10000,0.0,100.0,0.0,110,200,0.0,100.0,0.0,200,290,0.0,100.0,0.0,260,410,13.88888888888889,86.11111111111111,0.0,320,530,100.0,0.0,0.0,490,670,100.0,0.0,0.0,550,730,100.0,0.0,0.0,680,820,100.0,0.0,0.0,850,910,28.98148148148148,0.0,71.01851851851852,980,970,0.0,0.0,100.0,990,980
5,bad,good,bad/good,0.014930639911017046,0.11637621320306366,747,0,9253,470,750,500,750,30,0,0.0,0.0,14.94,0.0,7.47,0.0,92.53,10000,0.0,0.0,100.0,60,110,0.0,0.0,100.0,130,210,0.0,0.0,100.0,190,280,0.0,0.0,100.0,250,360,0.0,0.0,100.0,270,450,0.0,0.0,100.0,310,500,0.0,0.0,100.0,340,560,0.0,0.0,100.0,420,680,43.24074074074074,0.0,56.75925925925926,470,750,100.0,0.0,0.0,500,750
6,good,bad,good/bad,0.23791526142265856,0.010336812099201977,9553,447,0,610,310,1250,340,640,30,108.0,0.0,83.06,8.94,95.53,4.47,0.0,10000,100.0,0.0,0.0,170,40,100.0,0.0,0.0,270,70,100.0,0.0,0.0,490,100,100.0,0.0,0.0,600,130,100.0,0.0,0.0,740,160,100.0,0.0,0.0,850,210,100.0,0.0,0.0,1000,230,100.0,0.0,0.0,1150,260,84.53703703703704,15.462962962962964,0.0,1250,320,0.0,100.0,0.0,1250,340
7,good,good,good/good,0.15683878692973952,0.16561148080564309,147,9853,0,830,500,830,1160,0,660,0.0,108.0,2.94,89.06,1.47,98.53,0.0,10000,0.0,100.0,0.0,120,160,0.0,100.0,0.0,200,270,0.0,100.0,0.0,250,440,0.0,100.0,0.0,340,580,0.0,100.0,0.0,470,660,0.0,100.0,0.0,560,780,0.0,100.0,0.0,670,870,0.0,100.0,0.0,750,980,0.0,100.0,0.0,820,1140,52.5,47.5,0.0,830,1160
8,good,bad,good/bad,0.1401854911513755,0.007858904223970658,10000,0,0,650,340,1270,340,620,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,250,40,100.0,0.0,0.0,360,60,100.0,0.0,0.0,540,100,100.0,0.0,0.0,670,120,100.0,0.0,0.0,750,170,100.0,0.0,0.0,880,230,100.0,0.0,0.0,1000,250,100.0,0.0,0.0,1130,280,100.0,0.0,0.0,1250,330,100.0,0.0,0.0,1270,340
9,bad,bad,bad/bad,0.012888248961639183,0.010214826556609238,10000,0,0,400,440,1250,440,850,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,180,10,100.0,0.0,0.0,250,40,100.0,0.0,0.0,390,80,100.0,0.0,0.0,550,130,100.0,0.0,0.0,630,160,100.0,0.0,0.0,750,230,100.0,0.0,0.0,890,290,100.0,0.0,0.0,1000,360,100.0,0.0,0.0,1210,420,100.0,0.0,0.0,1250,440
10,bad,bad,bad/bad,0.009375628747520388,0.012722223811178508,10000,0,0,170,440,810,440,640,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,120,30,100.0,0.0,0.0,230,90,100.0,0.0,0.0,280,130,100.0,0.0,0.0,420,190,100.0,0.0,0.0,480,250,100.0,0.0,0.0,550,310,100.0,0.0,0.0,610,360,100.0,0.0,0.0,740,380,100.0,0.0,0.0,800,440,100.0,0.0,0.0,810,440
11,bad,bad,bad/bad,0.008534708405066435,0.01144673524034825,10000,0,0,270,430,1090,430,820,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,160,40,100.0,0.0,0.0,250,90,100.0,0.0,0.0,360,130,100.0,0.0,0.0,490,170,100.0,0.0,0.0,560,250,100.0,0.0,0.0,690,300,100.0,0.0,0.0,770,320,100.0,0.0,0.0,970,370,100.0,0.0,0.0,1080,430,100.0,0.0,0.0,1090,430
12,bad,good,bad/good,0.009269580306469995,0.10674358193968461,10000,0,0,200,810,750,810,550,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,130,90,100.0,0.0,0.0,210,190,100.0,0.0,0.0,260,240,100.0,0.0,0.0,420,310,100.0,0.0,0.0,510,420,100.0,0.0,0.0,590,500,100.0,0.0,0.0,670,580,100.0,0.0,0.0,700,700,100.0,0.0,0.0,750,770,100.0,0.0,0.0,750,810
13,bad,good,bad/good,0.01336382076223823,0.17686922281199116,10000,0,0,320,700,1010,700,690,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,130,110,100.0,0.0,0.0,250,190,100.0,0.0,0.0,430,250,100.0,0.0,0.0,500,330,100.0,0.0,0.0,630,410,100.0,0.0,0.0,740,500,100.0,0.0,0.0,830,540,100.0,0.0,0.0,900,590,100.0,0.0,0.0,1000,680,100.0,0.0,0.0,1010,700
14,good,good,good/good,0.1656982971860962,0.14701311302503825,10000,0,0,620,720,1380,720,760,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,110,100.0,0.0,0.0,370,240,100.0,0.0,0.0,530,280,100.0,0.0,0.0,710,340,100.0,0.0,0.0,870,450,100.0,0.0,0.0,980,500,100.0,0.0,0.0,1120,580,100.0,0.0,0.0,1210,660,100.0,0.0,0.0,1330,720,100.0,0.0,0.0,1380,720
15,good,good,good/good,0.14661184990960696,0.14195669434672897,10000,0,0,710,790,1450,790,740,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,210,90,100.0,0.0,0.0,320,230,100.0,0.0,0.0,460,310,100.0,0.0,0.0,560,420,100.0,0.0,0.0,760,460,100.0,0.0,0.0,930,520,100.0,0.0,0.0,1140,590,100.0,0.0,0.0,1260,690,100.0,0.0,0.0,1390,770,100.0,0.0,0.0,1450,790
16,good,bad,good/bad,0.14174947241553829,0.007158177740224747,10000,0,0,570,290,1380,290,810,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,230,10,100.0,0.0,0.0,400,50,100.0,0.0,0.0,520,80,100.0,0.0,0.0,650,140,100.0,0.0,0.0,770,160,100.0,0.0,0.0,920,220,100.0,0.0,0.0,1020,220,100.0,0.0,0.0,1180,230,100.0,0.0,0.0,1350,290,100.0,0.0,0.0,1380,290
17,bad,good,bad/good,0.004536284479626426,0.14325930590922942,10000,0,0,160,730,870,730,710,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,180,110,100.0,0.0,0.0,280,230,100.0,0.0,0.0,360,280,100.0,0.0,0.0,440,370,100.0,0.0,0.0,490,480,100.0,0.0,0.0,600,510,100.0,0.0,0.0,670,540,100.0,0.0,0.0,770,630,100.0,0.0,0.0,850,720,100.0,0.0,0.0,870,730
18,good,good,good/good,0.11743478092481688,0.16863832541278623,10000,0,0,520,780,1090,780,570,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,130,120,100.0,0.0,0.0,240,240,100.0,0.0,0.0,330,280,100.0,0.0,0.0,490,370,100.0,0.0,0.0,630,430,100.0,0.0,0.0,750,530,100.0,0.0,0.0,830,600,100.0,0.0,0.0,970,720,100.0,0.0,0.0,1060,780,100.0,0.0,0.0,1090,780
19,bad,good,bad/good,0.01394155465915219,0.1510758442272862,10000,0,0,360,800,1160,800,800,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,160,110,100.0,0.0,0.0,290,190,100.0,0.0,0.0,390,250,100.0,0.0,0.0,570,340,100.0,0.0,0.0,680,460,100.0,0.0,0.0,780,530,100.0,0.0,0.0,930,650,100.0,0.0,0.0,1050,730,100.0,0.0,0.0,1140,780,100.0,0.0,0.0,1160,800
20,good,bad,good/bad,0.10302663662071976,0.004809635239971151,10000,0,0,660,210,1370,210,710,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,240,0,100.0,0.0,0.0,400,10,100.0,0.0,0.0,500,30,100.0,0.0,0.0,620,40,100.0,0.0,0.0,730,80,100.0,0.0,0.0,820,110,100.0,0.0,0.0,990,130,100.0,0.0,0.0,1180,160,100.0,0.0,0.0,1340,200,100.0,0.0,0.0,1370,210
21,bad,good,bad/good,0.01527857838189041,0.17141632853419675,10000,0,0,340,720,1200,720,860,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,160,110,100.0,0.0,0.0,290,180,100.0,0.0,0.0,410,250,100.0,0.0,0.0,500,310,100.0,0.0,0.0,670,410,100.0,0.0,0.0,760,500,100.0,0.0,0.0,910,570,100.0,0.0,0.0,1000,630,100.0,0.0,0.0,1140,700,100.0,0.0,0.0,1200,720
22,good,bad,good/bad,0.12206974419508186,0.008841426194557548,10000,0,0,570,310,1370,310,800,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,250,50,100.0,0.0,0.0,440,70,100.0,0.0,0.0,510,100,100.0,0.0,0.0,710,120,100.0,0.0,0.0,820,160,100.0,0.0,0.0,990,190,100.0,0.0,0.0,1130,230,100.0,0.0,0.0,1250,270,100.0,0.0,0.0,1350,310,100.0,0.0,0.0,1370,310
23,good,good,good/good,0.1769081079201848,0.181795729455743,10000,0,0,610,750,1330,750,720,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,110,100.0,0.0,0.0,330,240,100.0,0.0,0.0,500,280,100.0,0.0,0.0,620,330,100.0,0.0,0.0,780,420,100.0,0.0,0.0,840,500,100.0,0.0,0.0,1000,580,100.0,0.0,0.0,1140,640,100.0,0.0,0.0,1310,740,100.0,0.0,0.0,1330,750
