episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
7,bad,bad,bad/bad,0.01268430023494156,0.013754179099395476,0,1183,8817,520,470,520,530,0,60,0.0,18.7,0.0,4.96,0.0,11.83,88.17,10000,0.0,0.0,100.0,70,70,0.0,0.0,100.0,120,100,0.0,65.55555555555556,34.44444444444444,220,150,0.0,12.037037037037036,87.96296296296296,260,240,0.0,8.981481481481481,91.01851851851852,330,280,0.0,22.962962962962962,77.03703703703704,360,360,0.0,0.0,100.0,410,410,0.0,0.0,100.0,480,480,0.0,0.0,100.0,500,530,0.0,0.0,100.0,520,530
9,bad,bad,bad/bad,0.011200589257588368,0.005024808502707675,0,1522,8478,420,240,420,390,0,150,0.0,12.0,0.0,18.44,0.0,15.22,84.78,10000,0.0,0.0,100.0,30,40,0.0,0.0,100.0,80,70,0.0,20.833333333333332,79.16666666666667,130,100,0.0,6.944444444444445,93.05555555555556,170,140,0.0,27.77777777777778,72.22222222222223,230,220,0.0,0.0,100.0,260,230,0.0,0.0,100.0,300,270,0.0,27.77777777777778,72.22222222222223,340,310,0.0,57.592592592592595,42.407407407407405,410,370,0.0,0.0,100.0,420,390
10,bad,bad,bad/bad,0.008638058958068021,0.01104719638323415,1290,0,8710,220,310,320,310,100,0,25.8,0.0,0.0,0.0,12.9,0.0,87.1,10000,0.0,0.0,100.0,30,50,38.611111111111114,0.0,61.388888888888886,70,120,44.25925925925926,0.0,55.74074074074074,120,160,36.574074074074076,0.0,63.425925925925924,180,200,0.0,0.0,100.0,190,220,0.0,0.0,100.0,220,260,0.0,0.0,100.0,260,270,0.0,0.0,100.0,290,280,0.0,0.0,100.0,320,300,0.0,0.0,100.0,320,310
13,bad,bad,bad/bad,0.007481432555906288,0.010563371735645097,300,0,9700,380,430,410,430,30,0,0.0,0.0,6.0,0.0,3.0,0.0,97.0,10000,0.0,0.0,100.0,30,40,0.0,0.0,100.0,70,70,0.0,0.0,100.0,100,120,0.0,0.0,100.0,170,170,0.0,0.0,100.0,200,220,0.0,0.0,100.0,250,260,1.6666666666666667,0.0,98.33333333333333,280,330,26.11111111111111,0.0,73.88888888888889,340,370,0.0,0.0,100.0,380,410,0.0,0.0,100.0,410,430
24,bad,bad,bad/bad,0.007944962144817599,0.012816822439461353,1114,0,8886,300,390,380,390,80,0,0.0,0.0,22.28,0.0,11.14,0.0,88.86,10000,0.0,0.0,100.0,70,60,0.0,0.0,100.0,90,90,0.0,0.0,100.0,120,150,0.0,0.0,100.0,160,170,0.0,0.0,100.0,200,220,0.0,0.0,100.0,240,250,36.48148148148148,0.0,63.51851851851852,260,310,66.66666666666667,0.0,33.333333333333336,350,340,0.0,0.0,100.0,380,380,0.0,0.0,100.0,380,390
25,bad,bad,bad/bad,0.011725256270517502,0.009107887432257156,0,2169,7831,490,330,490,490,0,160,0.0,16.32,0.0,27.06,0.0,21.69,78.31,10000,0.0,24.814814814814813,75.18518518518519,110,50,0.0,50.74074074074074,49.25925925925926,160,160,0.0,0.0,100.0,200,200,0.0,0.0,100.0,240,210,0.0,0.0,100.0,250,240,0.0,0.0,100.0,310,270,0.0,64.35185185185185,35.648148148148145,360,330,0.0,33.148148148148145,66.85185185185185,440,400,0.0,27.77777777777778,72.22222222222223,480,470,0.0,0.0,100.0,490,490
38,bad,bad,bad/bad,0.0054114062315346505,0.010568904220472275,2672,0,7328,240,420,410,420,170,0,31.22,0.0,22.22,0.0,26.72,0.0,73.28,10000,0.0,0.0,100.0,10,30,15.925925925925926,0.0,84.07407407407408,50,90,44.44444444444444,0.0,55.55555555555556,80,150,55.18518518518518,0.0,44.81481481481482,140,190,28.98148148148148,0.0,71.01851851851852,220,230,0.0,0.0,100.0,240,280,0.0,0.0,100.0,270,310,75.0925925925926,0.0,24.90740740740741,340,370,27.77777777777778,0.0,72.22222222222223,410,420,0.0,0.0,100.0,410,420
52,bad,bad,bad/bad,0.012267065967506256,0.0068011694673983675,0,900,9100,440,340,440,410,0,70,0.0,0.0,0.0,18.0,0.0,9.0,91.0,10000,0.0,0.0,100.0,30,60,0.0,0.0,100.0,70,100,0.0,0.0,100.0,140,150,0.0,0.0,100.0,180,180,0.0,0.0,100.0,240,220,0.0,0.0,100.0,250,250,0.0,0.0,100.0,290,260,0.0,24.537037037037038,75.46296296296296,360,320,0.0,38.333333333333336,61.666666666666664,430,370,0.0,78.92857142857143,21.071428571428573,440,410
54,bad,bad,bad/bad,0.008149766113510818,0.011814321687915904,300,300,9400,340,390,390,410,50,20,6.0,0.0,0.0,6.0,3.0,3.0,94.0,10000,0.0,0.0,100.0,30,40,0.0,0.0,100.0,60,90,0.0,0.0,100.0,70,100,27.77777777777778,0.0,72.22222222222223,130,140,0.0,0.0,100.0,200,160,0.0,27.77777777777778,72.22222222222223,260,240,0.0,0.0,100.0,300,280,0.0,0.0,100.0,340,340,0.0,0.0,100.0,380,390,0.0,0.0,100.0,390,410
56,bad,bad,bad/bad,0.010332447593091118,0.006473440932909256,0,300,9700,360,340,360,360,0,20,0.0,6.0,0.0,0.0,0.0,3.0,97.0,10000,0.0,0.0,100.0,40,20,0.0,0.0,100.0,70,60,0.0,0.0,100.0,130,110,0.0,0.0,100.0,170,140,0.0,27.77777777777778,72.22222222222223,200,180,0.0,0.0,100.0,240,210,0.0,0.0,100.0,270,270,0.0,0.0,100.0,310,290,0.0,0.0,100.0,350,350,0.0,0.0,100.0,360,360
