episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
1,bad,good,bad/good,0.006596780935411813,0.1053360846840565,3912,0,6088,300,750,700,750,400,0,34.16,0.0,44.08,0.0,39.12,0.0,60.88,10000,58.7962962962963,0.0,41.2037037037037,50,130,33.51851851851852,0.0,66.48148148148148,150,180,27.77777777777778,0.0,72.22222222222223,240,240,0.0,0.0,100.0,270,300,38.05555555555556,0.0,61.94444444444444,360,390,72.22222222222223,0.0,27.77777777777778,450,500,31.203703703703702,0.0,68.79629629629629,550,590,49.72222222222222,0.0,50.27777777777778,630,690,41.94444444444444,0.0,58.05555555555556,700,730,34.642857142857146,0.0,65.35714285714286,700,750
3,bad,good,bad/good,0.009113151971245258,0.1239826515948958,5560,0,4440,270,750,720,750,450,0,52.3,0.0,58.9,0.0,55.6,0.0,44.4,10000,34.074074074074076,0.0,65.92592592592592,60,130,55.55555555555556,0.0,44.44444444444444,190,230,27.77777777777778,0.0,72.22222222222223,240,280,57.31481481481482,0.0,42.68518518518518,300,340,67.4074074074074,0.0,32.592592592592595,430,490,72.22222222222223,0.0,27.77777777777778,490,550,88.05555555555556,0.0,11.944444444444445,550,590,56.388888888888886,0.0,43.611111111111114,630,680,56.01851851851852,0.0,43.98148148148148,710,740,0.0,0.0,100.0,720,750
5,bad,good,bad/good,0.011011690589816308,0.13628952381140705,8713,0,1287,270,840,800,840,530,0,83.26,0.0,91.0,0.0,87.13,0.0,12.87,10000,44.72222222222222,0.0,55.27777777777778,50,130,99.62962962962963,0.0,0.37037037037037035,180,230,67.96296296296296,0.0,32.03703703703704,250,290,73.14814814814815,0.0,26.85185185185185,310,450,100.0,0.0,0.0,380,530,100.0,0.0,0.0,510,620,100.0,0.0,0.0,570,720,100.0,0.0,0.0,680,780,100.0,0.0,0.0,760,840,82.14285714285714,0.0,17.857142857142858,800,840
6,bad,good,bad/good,0.011828942890072407,0.1564128411251801,3219,600,6181,350,630,530,630,180,0,18.0,12.0,46.38,0.0,32.19,6.0,61.81,10000,26.38888888888889,0.0,73.61111111111111,60,90,43.24074074074074,0.0,56.75925925925926,170,200,13.703703703703704,0.0,86.29629629629629,250,230,0.0,27.77777777777778,72.22222222222223,290,250,0.0,27.77777777777778,72.22222222222223,320,280,0.0,0.0,100.0,320,340,16.574074074074073,0.0,83.42592592592592,370,440,72.22222222222223,0.0,27.77777777777778,460,510,100.0,0.0,0.0,500,590,100.0,0.0,0.0,530,630
8,bad,good,bad/good,0.010078099342898663,0.14464847127254382,5501,0,4499,340,740,710,740,370,0,41.7,0.0,68.32,0.0,55.01,0.0,44.99,10000,43.05555555555556,0.0,56.94444444444444,40,110,46.01851851851852,0.0,53.98148148148148,150,190,27.77777777777778,0.0,72.22222222222223,220,240,3.9814814814814814,0.0,96.01851851851852,270,320,72.22222222222223,0.0,27.77777777777778,330,420,100.0,0.0,0.0,380,520,100.0,0.0,0.0,500,580,53.05555555555556,0.0,46.94444444444444,600,630,58.425925925925924,0.0,41.574074074074076,690,730,18.571428571428573,0.0,81.42857142857143,710,740
15,bad,good,bad/good,0.009928267933508693,0.09079851076997235,2827,0,7173,410,670,590,670,180,0,25.44,0.0,31.1,0.0,28.27,0.0,71.73,10000,32.96296296296296,0.0,67.03703703703704,30,120,57.03703703703704,0.0,42.96296296296296,190,200,0.0,0.0,100.0,240,250,0.0,0.0,100.0,280,310,27.77777777777778,0.0,72.22222222222223,360,370,0.0,0.0,100.0,400,430,27.77777777777778,0.0,72.22222222222223,480,500,76.11111111111111,0.0,23.88888888888889,520,570,40.092592592592595,0.0,59.907407407407405,590,630,0.0,0.0,100.0,590,670
17,bad,good,bad/good,0.013721429202349963,0.19190333838237117,5347,0,4653,400,720,690,720,290,0,33.28,0.0,73.66,0.0,53.47,0.0,46.53,10000,27.77777777777778,0.0,72.22222222222223,50,90,39.907407407407405,0.0,60.092592592592595,120,150,43.425925925925924,0.0,56.574074074074076,200,230,0.0,0.0,100.0,240,280,42.96296296296296,0.0,57.03703703703704,300,360,100.0,0.0,0.0,350,440,79.72222222222223,0.0,20.27777777777778,480,530,77.77777777777777,0.0,22.22222222222222,580,630,83.51851851851852,0.0,16.48148148148148,690,720,0.0,0.0,100.0,690,720
19,bad,good,bad/good,0.007969895306277536,0.14983685342604183,4057,0,5943,330,750,720,750,390,0,56.44,0.0,24.7,0.0,40.57,0.0,59.43,10000,66.66666666666667,0.0,33.333333333333336,50,120,58.7037037037037,0.0,41.2962962962963,220,250,28.51851851851852,0.0,71.48148148148148,270,320,52.96296296296296,0.0,47.03703703703704,350,390,54.44444444444444,0.0,45.55555555555556,440,490,3.240740740740741,0.0,96.75925925925925,500,530,27.77777777777778,0.0,72.22222222222223,580,620,55.55555555555556,0.0,44.44444444444444,630,690,27.77777777777778,0.0,72.22222222222223,710,740,0.0,0.0,100.0,720,750
21,bad,good,bad/good,0.009989673420728077,0.1466189949654601,2783,0,7217,430,740,710,740,280,0,31.66,0.0,24.0,0.0,27.83,0.0,72.17,10000,21.944444444444443,0.0,78.05555555555556,70,90,41.2962962962963,0.0,58.7037037037037,160,180,0.0,0.0,100.0,220,250,55.55555555555556,0.0,44.44444444444444,320,360,27.77777777777778,0.0,72.22222222222223,410,430,27.77777777777778,0.0,72.22222222222223,480,490,0.0,0.0,100.0,510,530,41.2037037037037,0.0,58.7962962962963,580,630,42.129629629629626,0.0,57.870370370370374,700,720,0.0,0.0,100.0,710,740
27,bad,good,bad/good,0.004253010361151239,0.1647417358125355,6921,0,3079,130,780,690,780,560,0,77.24,0.0,61.18,0.0,69.21,0.0,30.79,10000,71.75925925925925,0.0,28.24074074074074,50,110,44.44444444444444,0.0,55.55555555555556,120,210,72.22222222222223,0.0,27.77777777777778,210,260,100.0,0.0,0.0,310,360,69.16666666666667,0.0,30.833333333333332,440,480,0.0,0.0,100.0,500,520,57.31481481481482,0.0,42.68518518518518,530,610,100.0,0.0,0.0,610,720,100.0,0.0,0.0,670,760,100.0,0.0,0.0,690,780
