episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
2,good,bad,good/bad,0.1764720008733393,0.007912377140077594,0,3496,6504,620,310,620,580,0,270,0.0,30.66,0.0,39.26,0.0,34.96,65.04,10000,0.0,0.0,100.0,80,40,0.0,43.7037037037037,56.2962962962963,160,90,0.0,70.46296296296296,29.537037037037038,230,220,0.0,0.0,100.0,280,270,0.0,27.77777777777778,72.22222222222223,380,350,0.0,27.77777777777778,72.22222222222223,470,450,0.0,0.0,100.0,530,490,0.0,65.0,35.0,590,520,0.0,72.22222222222223,27.77777777777778,620,560,0.0,64.64285714285714,35.357142857142854,620,580
4,good,bad,good/bad,0.12583156838125348,0.013445019400383684,0,5543,4457,680,370,680,610,0,240,0.0,24.86,0.0,86.0,0.0,55.43,44.57,10000,0.0,27.77777777777778,72.22222222222223,110,100,0.0,27.77777777777778,72.22222222222223,200,180,0.0,0.0,100.0,250,220,0.0,0.0,100.0,270,250,0.0,59.53703703703704,40.46296296296296,360,280,0.0,100.0,0.0,450,370,0.0,100.0,0.0,500,440,0.0,72.22222222222223,27.77777777777778,590,500,0.0,100.0,0.0,650,580,0.0,100.0,0.0,680,610
14,good,bad,good/bad,0.13720651623529595,0.01517581560528483,0,2617,7383,640,400,640,590,0,190,0.0,18.0,0.0,34.34,0.0,26.17,73.83,10000,0.0,27.77777777777778,72.22222222222223,110,80,0.0,0.0,100.0,150,130,0.0,32.129629629629626,67.87037037037037,230,180,0.0,23.425925925925927,76.57407407407408,270,260,0.0,0.0,100.0,340,320,0.0,47.22222222222222,52.77777777777778,440,380,0.0,22.40740740740741,77.5925925925926,490,460,0.0,30.0,70.0,560,500,0.0,58.148148148148145,41.851851851851855,610,580,0.0,4.642857142857143,95.35714285714286,640,590
33,good,bad,good/bad,0.1786592287267986,0.008288750330729788,0,5234,4766,740,340,740,710,0,370,0.0,50.78,0.0,53.9,0.0,52.34,47.66,10000,0.0,37.96296296296296,62.03703703703704,110,70,0.0,63.425925925925924,36.574074074074076,210,160,0.0,0.0,100.0,250,220,0.0,33.7037037037037,66.29629629629629,320,250,0.0,100.0,0.0,420,360,0.0,44.44444444444444,55.55555555555556,490,440,0.0,51.2037037037037,48.7962962962963,540,490,0.0,72.22222222222223,27.77777777777778,630,570,0.0,72.22222222222223,27.77777777777778,730,660,0.0,36.42857142857143,63.57142857142857,740,710
34,good,bad,good/bad,0.1441782625677694,0.011224363475063417,0,4071,5929,760,440,760,740,0,300,0.0,32.42,0.0,49.0,0.0,40.71,59.29,10000,0.0,27.77777777777778,72.22222222222223,80,80,0.0,0.0,100.0,180,140,0.0,27.77777777777778,72.22222222222223,250,220,0.0,22.314814814814813,77.68518518518519,310,260,0.0,72.22222222222223,27.77777777777778,400,330,0.0,61.94444444444444,38.05555555555556,500,490,0.0,78.51851851851852,21.48148148148148,620,560,0.0,50.46296296296296,49.53703703703704,690,650,0.0,35.925925925925924,64.07407407407408,750,720,0.0,0.0,100.0,760,740
37,good,bad,good/bad,0.1465146318845133,0.007249551063041349,0,6602,3398,680,260,680,660,0,400,0.0,68.28,0.0,63.76,0.0,66.02,33.98,10000,0.0,48.611111111111114,51.388888888888886,120,30,0.0,100.0,0.0,200,130,0.0,67.96296296296296,32.03703703703704,250,240,0.0,27.314814814814813,72.68518518518519,310,260,0.0,72.22222222222223,27.77777777777778,410,280,0.0,100.0,0.0,490,380,0.0,32.03703703703704,67.96296296296296,500,470,0.0,51.111111111111114,48.888888888888886,580,500,0.0,100.0,0.0,680,620,0.0,46.42857142857143,53.57142857142857,680,660
40,good,bad,good/bad,0.139912193681085,0.01454374088356472,0,4595,5405,750,370,750,710,0,340,0.0,45.2,0.0,46.7,0.0,45.95,54.05,10000,0.0,32.129629629629626,67.87037037037037,130,70,0.0,51.2037037037037,48.7962962962963,220,230,0.0,0.0,100.0,260,260,0.0,27.77777777777778,72.22222222222223,360,320,0.0,98.14814814814815,1.8518518518518519,460,340,0.0,72.12962962962963,27.87037037037037,480,440,0.0,44.074074074074076,55.925925925925924,560,500,0.0,72.22222222222223,27.77777777777778,680,640,0.0,27.77777777777778,72.22222222222223,740,700,0.0,0.0,100.0,750,710
41,good,bad,good/bad,0.1684621838418998,0.009582853168594698,0,4463,5537,680,290,680,580,0,290,0.0,30.0,0.0,59.26,0.0,44.63,55.37,10000,0.0,27.77777777777778,72.22222222222223,110,70,0.0,38.7962962962963,61.2037037037037,180,140,0.0,44.53703703703704,55.46296296296296,230,200,0.0,0.0,100.0,290,250,0.0,27.77777777777778,72.22222222222223,350,280,0.0,93.61111111111111,6.388888888888889,450,370,0.0,52.68518518518518,47.31481481481482,480,440,0.0,29.90740740740741,70.0925925925926,550,500,0.0,72.22222222222223,27.77777777777778,630,550,0.0,100.0,0.0,680,580
55,good,bad,good/bad,0.17399527477524404,0.007110383443653218,0,6085,3915,750,250,750,590,0,340,0.0,52.34,0.0,69.36,0.0,60.85,39.15,10000,0.0,40.648148148148145,59.351851851851855,110,30,0.0,100.0,0.0,220,140,0.0,62.129629629629626,37.870370370370374,260,230,0.0,4.814814814814815,95.18518518518519,310,280,0.0,34.72222222222222,65.27777777777777,370,330,0.0,50.74074074074074,49.25925925925926,470,410,0.0,51.111111111111114,48.888888888888886,530,480,0.0,93.33333333333333,6.666666666666667,620,510,0.0,100.0,0.0,730,580,0.0,100.0,0.0,750,590
59,good,bad,good/bad,0.14292877492914405,0.010169665046705958,0,7904,2096,860,280,860,780,0,500,0.0,72.08,0.0,86.0,0.0,79.04,20.96,10000,0.0,27.77777777777778,72.22222222222223,130,100,0.0,59.72222222222222,40.27777777777778,220,170,0.0,46.2037037037037,53.7962962962963,310,240,0.0,100.0,0.0,420,300,0.0,100.0,0.0,510,450,0.0,100.0,0.0,540,480,0.0,100.0,0.0,630,560,0.0,100.0,0.0,740,640,0.0,72.22222222222223,27.77777777777778,820,750,0.0,100.0,0.0,860,780
