episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
4,good,good,good/good,0.16618477559298744,0.12222396419606854,4783,4170,1047,690,740,990,980,300,240,24.6,83.4,71.06,0.0,47.83,41.7,10.47,10000,0.0,100.0,0.0,110,200,0.0,100.0,0.0,200,290,0.0,100.0,0.0,260,410,13.88888888888889,86.11111111111111,0.0,320,530,100.0,0.0,0.0,490,670,100.0,0.0,0.0,550,730,100.0,0.0,0.0,680,820,100.0,0.0,0.0,850,910,28.98148148148148,0.0,71.01851851851852,980,970,0.0,0.0,100.0,990,980
7,good,good,good/good,0.15683878692973952,0.16561148080564309,147,9853,0,830,500,830,1160,0,660,0.0,108.0,2.94,89.06,1.47,98.53,0.0,10000,0.0,100.0,0.0,120,160,0.0,100.0,0.0,200,270,0.0,100.0,0.0,250,440,0.0,100.0,0.0,340,580,0.0,100.0,0.0,470,660,0.0,100.0,0.0,560,780,0.0,100.0,0.0,670,870,0.0,100.0,0.0,750,980,0.0,100.0,0.0,820,1140,52.5,47.5,0.0,830,1160
14,good,good,good/good,0.1656982971860962,0.14701311302503825,10000,0,0,620,720,1380,720,760,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,110,100.0,0.0,0.0,370,240,100.0,0.0,0.0,530,280,100.0,0.0,0.0,710,340,100.0,0.0,0.0,870,450,100.0,0.0,0.0,980,500,100.0,0.0,0.0,1120,580,100.0,0.0,0.0,1210,660,100.0,0.0,0.0,1330,720,100.0,0.0,0.0,1380,720
15,good,good,good/good,0.14661184990960696,0.14195669434672897,10000,0,0,710,790,1450,790,740,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,210,90,100.0,0.0,0.0,320,230,100.0,0.0,0.0,460,310,100.0,0.0,0.0,560,420,100.0,0.0,0.0,760,460,100.0,0.0,0.0,930,520,100.0,0.0,0.0,1140,590,100.0,0.0,0.0,1260,690,100.0,0.0,0.0,1390,770,100.0,0.0,0.0,1450,790
18,good,good,good/good,0.11743478092481688,0.16863832541278623,10000,0,0,520,780,1090,780,570,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,130,120,100.0,0.0,0.0,240,240,100.0,0.0,0.0,330,280,100.0,0.0,0.0,490,370,100.0,0.0,0.0,630,430,100.0,0.0,0.0,750,530,100.0,0.0,0.0,830,600,100.0,0.0,0.0,970,720,100.0,0.0,0.0,1060,780,100.0,0.0,0.0,1090,780
23,good,good,good/good,0.1769081079201848,0.181795729455743,10000,0,0,610,750,1330,750,720,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,110,100.0,0.0,0.0,330,240,100.0,0.0,0.0,500,280,100.0,0.0,0.0,620,330,100.0,0.0,0.0,780,420,100.0,0.0,0.0,840,500,100.0,0.0,0.0,1000,580,100.0,0.0,0.0,1140,640,100.0,0.0,0.0,1310,740,100.0,0.0,0.0,1330,750
24,good,good,good/good,0.1429695702691262,0.15903374702043696,10000,0,0,750,680,1620,680,870,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,190,120,100.0,0.0,0.0,330,210,100.0,0.0,0.0,490,240,100.0,0.0,0.0,650,260,100.0,0.0,0.0,850,370,100.0,0.0,0.0,1050,470,100.0,0.0,0.0,1230,510,100.0,0.0,0.0,1400,570,100.0,0.0,0.0,1600,660,100.0,0.0,0.0,1620,680
25,good,good,good/good,0.14846911264262805,0.11702206734924644,10000,0,0,580,630,1280,630,700,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,200,110,100.0,0.0,0.0,300,140,100.0,0.0,0.0,410,200,100.0,0.0,0.0,520,250,100.0,0.0,0.0,690,320,100.0,0.0,0.0,820,400,100.0,0.0,0.0,930,500,100.0,0.0,0.0,1100,580,100.0,0.0,0.0,1260,610,100.0,0.0,0.0,1280,630
30,good,good,good/good,0.16197474284482136,0.15347097428780296,10000,0,0,540,710,1080,710,540,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,160,120,100.0,0.0,0.0,290,200,100.0,0.0,0.0,330,260,100.0,0.0,0.0,490,310,100.0,0.0,0.0,570,390,100.0,0.0,0.0,700,440,100.0,0.0,0.0,800,510,100.0,0.0,0.0,930,570,100.0,0.0,0.0,1030,690,100.0,0.0,0.0,1080,710
31,good,good,good/good,0.1411621922437733,0.1354998245528113,10000,0,0,690,740,1440,740,750,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,190,110,100.0,0.0,0.0,330,190,100.0,0.0,0.0,460,250,100.0,0.0,0.0,600,310,100.0,0.0,0.0,760,410,100.0,0.0,0.0,850,470,100.0,0.0,0.0,1020,510,100.0,0.0,0.0,1230,630,100.0,0.0,0.0,1400,740,100.0,0.0,0.0,1440,740
34,good,good,good/good,0.16792944812144656,0.1236766681916049,10000,0,0,620,690,1330,690,710,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,70,100.0,0.0,0.0,340,130,100.0,0.0,0.0,500,240,100.0,0.0,0.0,710,290,100.0,0.0,0.0,870,380,100.0,0.0,0.0,1000,440,100.0,0.0,0.0,1080,500,100.0,0.0,0.0,1190,590,100.0,0.0,0.0,1300,650,100.0,0.0,0.0,1330,690
36,good,good,good/good,0.11607813710874776,0.1435990401572714,10000,0,0,710,740,1460,740,750,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,120,100.0,0.0,0.0,280,190,100.0,0.0,0.0,480,270,100.0,0.0,0.0,580,340,100.0,0.0,0.0,750,460,100.0,0.0,0.0,930,520,100.0,0.0,0.0,1090,540,100.0,0.0,0.0,1250,610,100.0,0.0,0.0,1450,740,100.0,0.0,0.0,1460,740
38,good,good,good/good,0.1301584467050992,0.1578487539779291,10000,0,0,580,610,1330,610,750,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,210,70,100.0,0.0,0.0,270,160,100.0,0.0,0.0,480,230,100.0,0.0,0.0,620,290,100.0,0.0,0.0,750,360,100.0,0.0,0.0,940,420,100.0,0.0,0.0,1060,480,100.0,0.0,0.0,1250,520,100.0,0.0,0.0,1330,600,100.0,0.0,0.0,1330,610
41,good,good,good/good,0.1675233748397766,0.12680361150369093,10000,0,0,730,670,1480,670,750,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,220,120,100.0,0.0,0.0,410,200,100.0,0.0,0.0,570,250,100.0,0.0,0.0,750,330,100.0,0.0,0.0,980,390,100.0,0.0,0.0,1080,500,100.0,0.0,0.0,1220,580,100.0,0.0,0.0,1350,600,100.0,0.0,0.0,1460,630,100.0,0.0,0.0,1480,670
46,good,good,good/good,0.1582254999086185,0.15574509779282406,10000,0,0,620,750,1320,750,700,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,170,110,100.0,0.0,0.0,290,210,100.0,0.0,0.0,500,240,100.0,0.0,0.0,740,320,100.0,0.0,0.0,850,410,100.0,0.0,0.0,1000,500,100.0,0.0,0.0,1070,560,100.0,0.0,0.0,1130,660,100.0,0.0,0.0,1250,740,100.0,0.0,0.0,1320,750
50,good,good,good/good,0.1879299800695143,0.16937282318090494,10000,0,0,610,720,1280,720,670,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,250,110,100.0,0.0,0.0,430,190,100.0,0.0,0.0,510,250,100.0,0.0,0.0,640,290,100.0,0.0,0.0,750,330,100.0,0.0,0.0,850,460,100.0,0.0,0.0,1020,540,100.0,0.0,0.0,1130,620,100.0,0.0,0.0,1270,700,100.0,0.0,0.0,1280,720
51,good,good,good/good,0.11205129909134905,0.1967804860009959,10000,0,0,510,830,1310,830,800,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,250,110,100.0,0.0,0.0,380,230,100.0,0.0,0.0,500,300,100.0,0.0,0.0,560,390,100.0,0.0,0.0,750,500,100.0,0.0,0.0,830,590,100.0,0.0,0.0,1000,700,100.0,0.0,0.0,1200,750,100.0,0.0,0.0,1280,810,100.0,0.0,0.0,1310,830
57,good,good,good/good,0.12368680042537007,0.1783985089458999,10000,0,0,550,780,1240,780,690,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,200,120,100.0,0.0,0.0,270,220,100.0,0.0,0.0,380,290,100.0,0.0,0.0,500,340,100.0,0.0,0.0,620,480,100.0,0.0,0.0,770,530,100.0,0.0,0.0,980,570,100.0,0.0,0.0,1110,700,100.0,0.0,0.0,1220,780,100.0,0.0,0.0,1240,780
65,good,good,good/good,0.0817699354718557,0.15288968531573238,10000,0,0,620,720,1380,720,760,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,190,80,100.0,0.0,0.0,280,190,100.0,0.0,0.0,440,230,100.0,0.0,0.0,600,280,100.0,0.0,0.0,750,360,100.0,0.0,0.0,990,430,100.0,0.0,0.0,1120,500,100.0,0.0,0.0,1250,590,100.0,0.0,0.0,1350,690,100.0,0.0,0.0,1380,720
72,good,good,good/good,0.17576784084379996,0.16868962256123646,10000,0,0,710,680,1350,680,640,0,108.0,0.0,92.0,0.0,100.0,0.0,0.0,10000,100.0,0.0,0.0,230,70,100.0,0.0,0.0,350,170,100.0,0.0,0.0,510,240,100.0,0.0,0.0,620,300,100.0,0.0,0.0,750,370,100.0,0.0,0.0,870,480,100.0,0.0,0.0,1050,560,100.0,0.0,0.0,1230,630,100.0,0.0,0.0,1350,670,100.0,0.0,0.0,1350,680
