episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
1,good,bad,good/bad,0.13542642131704616,0.009746679459520772,4880,3634,1486,570,400,890,630,320,230,60.32,26.54,37.28,46.14,48.8,36.34,14.86,10000,58.7037037037037,25.833333333333332,15.462962962962964,130,70,29.074074074074073,65.0,5.925925925925926,180,180,95.18518518518519,0.0,4.814814814814815,250,230,63.611111111111114,0.0,36.388888888888886,390,240,32.68518518518518,32.03703703703704,35.27777777777778,480,320,81.66666666666667,15.185185185185185,3.1481481481481484,580,370,24.35185185185185,64.44444444444444,11.203703703703704,700,470,61.01851851851852,13.61111111111111,25.37037037037037,800,520,5.555555555555555,94.44444444444444,0.0,870,590,0.0,100.0,0.0,890,630
2,good,bad,good/bad,0.1471386614365253,0.01317478388888202,2861,5647,1492,640,340,770,800,130,460,20.0,80.42,37.22,32.52,28.61,56.47,14.92,10000,31.296296296296298,68.42592592592592,0.2777777777777778,120,80,18.333333333333332,81.57407407407408,0.09259259259259259,220,210,42.96296296296296,27.77777777777778,29.25925925925926,330,260,0.0,100.0,0.0,410,340,0.0,94.53703703703704,5.462962962962963,460,480,38.425925925925924,27.40740740740741,34.166666666666664,500,530,76.94444444444444,23.055555555555557,0.0,600,580,39.44444444444444,48.05555555555556,12.5,670,710,17.5,27.314814814814813,55.18518518518518,750,750,0.0,95.35714285714286,4.642857142857143,770,800
3,good,bad,good/bad,0.16758750776977893,0.014888559927000083,2480,3882,3638,600,560,760,880,160,320,22.28,44.42,27.32,33.22,24.8,38.82,36.38,10000,9.537037037037036,28.333333333333332,62.129629629629626,70,130,12.962962962962964,48.98148148148148,38.05555555555556,210,220,18.51851851851852,71.66666666666667,9.814814814814815,270,350,42.77777777777778,0.0,57.22222222222222,330,430,19.35185185185185,56.666666666666664,23.98148148148148,460,500,29.537037037037038,70.46296296296296,0.0,550,670,27.77777777777778,1.3888888888888888,70.83333333333333,630,740,12.87037037037037,22.685185185185187,64.44444444444444,710,770,30.37037037037037,59.25925925925926,10.37037037037037,750,860,100.0,0.0,0.0,760,880
4,good,good,good/good,0.13994189383998967,0.1595090959562341,3755,3584,2661,580,670,830,890,250,220,43.96,39.0,31.14,32.68,37.55,35.84,26.61,10000,44.166666666666664,39.72222222222222,16.11111111111111,120,120,71.29629629629629,25.27777777777778,3.425925925925926,220,230,37.68518518518518,18.14814814814815,44.166666666666664,330,280,41.666666666666664,53.425925925925924,4.907407407407407,470,460,8.703703703703704,43.98148148148148,47.31481481481482,520,520,54.72222222222222,26.85185185185185,18.425925925925927,620,590,14.722222222222221,54.074074074074076,31.203703703703702,680,710,26.666666666666668,35.0,38.333333333333336,740,750,22.12962962962963,35.370370370370374,42.5,780,840,100.0,0.0,0.0,830,890
5,bad,good,bad/good,0.00892648215923285,0.10173751278961245,3300,3597,3103,140,610,390,840,250,230,54.94,26.1,11.06,45.84,33.0,35.97,31.03,10000,71.94444444444444,0.18518518518518517,27.87037037037037,70,110,52.592592592592595,21.203703703703702,26.203703703703702,120,190,47.31481481481482,0.0,52.68518518518518,140,240,72.5,9.444444444444445,18.055555555555557,240,320,10.0,90.0,0.0,240,410,44.53703703703704,30.925925925925927,24.537037037037038,310,510,4.074074074074074,69.25925925925925,26.666666666666668,350,640,0.0,12.777777777777779,87.22222222222223,370,760,2.5925925925925926,75.0,22.40740740740741,390,800,0.0,93.57142857142857,6.428571428571429,390,840
6,good,bad,good/bad,0.17195962787142838,0.016300451497536745,2704,4474,2822,670,460,780,740,110,280,25.74,45.02,28.34,44.46,27.04,44.74,28.22,10000,30.74074074074074,65.18518518518519,4.074074074074074,120,120,5.462962962962963,30.925925925925927,63.611111111111114,210,220,3.240740740740741,27.314814814814813,69.44444444444444,250,250,47.68518518518518,35.74074074074074,16.574074074074073,330,340,32.03703703703704,49.25925925925926,18.703703703703702,420,420,48.24074074074074,32.68518518518518,19.074074074074073,490,490,34.074074074074076,41.111111111111114,24.814814814814813,580,560,30.37037037037037,43.24074074074074,26.38888888888889,670,660,0.0,83.42592592592592,16.574074074074073,750,730,71.42857142857143,20.714285714285715,7.857142857142857,780,740
7,good,bad,good/bad,0.09997264251392327,0.012380882809943004,3686,4924,1390,610,390,730,780,120,390,38.94,56.92,34.78,41.56,36.86,49.24,13.9,10000,43.425925925925924,41.666666666666664,14.907407407407407,130,130,24.166666666666668,71.29629629629629,4.537037037037037,210,250,24.25925925925926,47.68518518518518,28.055555555555557,270,290,55.46296296296296,44.53703703703704,0.0,360,350,32.96296296296296,58.333333333333336,8.703703703703704,430,470,57.592592592592595,18.055555555555557,24.35185185185185,520,530,60.092592592592595,32.592592592592595,7.314814814814815,590,610,43.333333333333336,49.351851851851855,7.314814814814815,650,660,0.0,66.48148148148148,33.51851851851852,720,750,0.0,100.0,0.0,730,780
8,bad,good,bad/good,0.01270956284730617,0.16627522630696656,2633,4395,2972,140,710,250,1000,110,290,35.54,32.26,17.12,55.64,26.33,43.95,29.72,10000,70.64814814814815,0.5555555555555556,28.796296296296298,50,130,52.22222222222222,0.0,47.77777777777778,80,210,41.2962962962963,2.4074074074074074,56.2962962962963,120,250,0.0,100.0,0.0,140,330,0.37037037037037035,46.388888888888886,53.24074074074074,160,500,75.46296296296296,11.203703703703704,13.333333333333334,230,570,0.0,91.85185185185185,8.148148148148149,240,720,0.0,39.351851851851855,60.648148148148145,240,770,0.0,100.0,0.0,250,950,14.642857142857142,58.57142857142857,26.785714285714285,250,1000
9,bad,good,bad/good,0.009666234022928459,0.16884577670259776,4534,2663,2803,150,600,470,760,320,160,41.84,30.54,48.84,22.72,45.34,26.63,28.03,10000,43.24074074074074,15.833333333333334,40.925925925925924,30,120,61.388888888888886,0.0,38.611111111111114,90,170,46.48148148148148,0.0,53.51851851851852,140,230,34.81481481481482,53.24074074074074,11.944444444444445,220,280,7.777777777777778,72.31481481481481,19.90740740740741,230,480,86.94444444444444,12.222222222222221,0.8333333333333334,300,530,60.925925925925924,39.074074074074076,0.0,380,620,44.81481481481482,29.444444444444443,25.74074074074074,430,730,31.38888888888889,17.87037037037037,50.74074074074074,460,760,7.857142857142857,25.357142857142858,66.78571428571429,470,760
10,bad,bad,bad/bad,0.006526797081321484,0.013498179866706752,1914,4330,3756,100,440,230,750,130,310,38.28,16.0,0.0,70.6,19.14,43.3,37.56,10000,34.907407407407405,22.12962962962963,42.96296296296296,20,10,53.98148148148148,19.35185185185185,26.666666666666668,60,60,11.203703703703704,26.48148148148148,62.31481481481482,80,140,9.62962962962963,6.111111111111111,84.25925925925925,100,200,67.5,0.0,32.5,180,240,0.0,83.98148148148148,16.01851851851852,200,310,0.0,78.05555555555556,21.944444444444443,200,470,0.0,44.074074074074076,55.925925925925924,210,550,0.0,99.72222222222223,0.2777777777777778,220,730,0.0,81.07142857142857,18.928571428571427,230,750
11,bad,good,bad/good,0.0149334706604274,0.18436732400294653,4058,3414,2528,150,720,410,1000,260,280,41.0,32.54,40.16,35.74,40.58,34.14,25.28,10000,79.25925925925925,2.314814814814815,18.425925925925927,50,110,72.5925925925926,11.018518518518519,16.38888888888889,120,190,37.96296296296296,20.462962962962962,41.574074074074076,170,250,0.0,93.98148148148148,6.018518518518518,220,420,0.0,22.87037037037037,77.12962962962963,240,510,0.0,88.14814814814815,11.851851851851851,240,660,56.666666666666664,16.944444444444443,26.38888888888889,300,770,64.72222222222223,34.81481481481482,0.46296296296296297,330,890,64.53703703703704,10.833333333333334,24.62962962962963,410,990,0.0,56.785714285714285,43.214285714285715,410,1000
12,bad,bad,bad/bad,0.007881878265170563,0.013303000918212382,5477,2101,2422,120,400,470,570,350,170,51.9,33.32,57.64,8.7,54.77,21.01,24.22,10000,40.0,22.40740740740741,37.592592592592595,30,70,75.18518518518519,24.814814814814813,0.0,110,120,60.370370370370374,25.0,14.62962962962963,180,210,0.0,56.2037037037037,43.7962962962963,200,290,64.72222222222223,25.833333333333332,9.444444444444445,210,360,100.0,0.0,0.0,290,410,41.574074074074076,0.0,58.425925925925924,380,470,71.66666666666667,4.074074074074074,24.25925925925926,460,500,40.370370370370374,34.25925925925926,25.37037037037037,470,560,51.07142857142857,7.5,41.42857142857143,470,570
