episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
1,good,bad,good/bad,0.13542642131704616,0.009746679459520772,4880,3634,1486,570,400,890,630,320,230,60.32,26.54,37.28,46.14,48.8,36.34,14.86,10000,58.7037037037037,25.833333333333332,15.462962962962964,130,70,29.074074074074073,65.0,5.925925925925926,180,180,95.18518518518519,0.0,4.814814814814815,250,230,63.611111111111114,0.0,36.388888888888886,390,240,32.68518518518518,32.03703703703704,35.27777777777778,480,320,81.66666666666667,15.185185185185185,3.1481481481481484,580,370,24.35185185185185,64.44444444444444,11.203703703703704,700,470,61.01851851851852,13.61111111111111,25.37037037037037,800,520,5.555555555555555,94.44444444444444,0.0,870,590,0.0,100.0,0.0,890,630
2,good,bad,good/bad,0.1471386614365253,0.01317478388888202,2861,5647,1492,640,340,770,800,130,460,20.0,80.42,37.22,32.52,28.61,56.47,14.92,10000,31.296296296296298,68.42592592592592,0.2777777777777778,120,80,18.333333333333332,81.57407407407408,0.09259259259259259,220,210,42.96296296296296,27.77777777777778,29.25925925925926,330,260,0.0,100.0,0.0,410,340,0.0,94.53703703703704,5.462962962962963,460,480,38.425925925925924,27.40740740740741,34.166666666666664,500,530,76.94444444444444,23.055555555555557,0.0,600,580,39.44444444444444,48.05555555555556,12.5,670,710,17.5,27.314814814814813,55.18518518518518,750,750,0.0,95.35714285714286,4.642857142857143,770,800
3,good,bad,good/bad,0.16758750776977893,0.014888559927000083,2480,3882,3638,600,560,760,880,160,320,22.28,44.42,27.32,33.22,24.8,38.82,36.38,10000,9.537037037037036,28.333333333333332,62.129629629629626,70,130,12.962962962962964,48.98148148148148,38.05555555555556,210,220,18.51851851851852,71.66666666666667,9.814814814814815,270,350,42.77777777777778,0.0,57.22222222222222,330,430,19.35185185185185,56.666666666666664,23.98148148148148,460,500,29.537037037037038,70.46296296296296,0.0,550,670,27.77777777777778,1.3888888888888888,70.83333333333333,630,740,12.87037037037037,22.685185185185187,64.44444444444444,710,770,30.37037037037037,59.25925925925926,10.37037037037037,750,860,100.0,0.0,0.0,760,880
6,good,bad,good/bad,0.17195962787142838,0.016300451497536745,2704,4474,2822,670,460,780,740,110,280,25.74,45.02,28.34,44.46,27.04,44.74,28.22,10000,30.74074074074074,65.18518518518519,4.074074074074074,120,120,5.462962962962963,30.925925925925927,63.611111111111114,210,220,3.240740740740741,27.314814814814813,69.44444444444444,250,250,47.68518518518518,35.74074074074074,16.574074074074073,330,340,32.03703703703704,49.25925925925926,18.703703703703702,420,420,48.24074074074074,32.68518518518518,19.074074074074073,490,490,34.074074074074076,41.111111111111114,24.814814814814813,580,560,30.37037037037037,43.24074074074074,26.38888888888889,670,660,0.0,83.42592592592592,16.574074074074073,750,730,71.42857142857143,20.714285714285715,7.857142857142857,780,740
7,good,bad,good/bad,0.09997264251392327,0.012380882809943004,3686,4924,1390,610,390,730,780,120,390,38.94,56.92,34.78,41.56,36.86,49.24,13.9,10000,43.425925925925924,41.666666666666664,14.907407407407407,130,130,24.166666666666668,71.29629629629629,4.537037037037037,210,250,24.25925925925926,47.68518518518518,28.055555555555557,270,290,55.46296296296296,44.53703703703704,0.0,360,350,32.96296296296296,58.333333333333336,8.703703703703704,430,470,57.592592592592595,18.055555555555557,24.35185185185185,520,530,60.092592592592595,32.592592592592595,7.314814814814815,590,610,43.333333333333336,49.351851851851855,7.314814814814815,650,660,0.0,66.48148148148148,33.51851851851852,720,750,0.0,100.0,0.0,730,780
17,good,bad,good/bad,0.13918486826130844,0.014110967250298062,4048,3866,2086,520,460,810,770,290,310,52.78,37.84,28.18,39.48,40.48,38.66,20.86,10000,71.57407407407408,7.777777777777778,20.64814814814815,70,50,21.203703703703702,58.148148148148145,20.64814814814815,130,160,42.31481481481482,42.03703703703704,15.648148148148149,230,240,30.64814814814815,46.2037037037037,23.14814814814815,320,340,78.61111111111111,21.01851851851852,0.37037037037037035,470,400,82.22222222222223,16.85185185185185,0.9259259259259259,570,450,7.407407407407407,0.0,92.5925925925926,660,500,0.0,94.53703703703704,5.462962962962963,720,660,19.444444444444443,66.85185185185185,13.703703703703704,770,760,82.5,17.5,0.0,810,770
19,good,bad,good/bad,0.14336711699147334,0.016509894954464623,3511,4063,2426,570,560,750,820,180,260,46.58,41.6,23.64,39.66,35.11,40.63,24.26,10000,13.24074074074074,42.407407407407405,44.351851851851855,90,110,79.35185185185185,13.518518518518519,7.12962962962963,250,190,88.79629629629629,2.037037037037037,9.166666666666666,320,270,0.0,97.22222222222223,2.7777777777777777,400,350,34.25925925925926,37.407407407407405,28.333333333333332,470,430,35.0,8.796296296296296,56.2037037037037,550,510,69.72222222222223,30.27777777777778,0.0,640,580,0.0,58.05555555555556,41.94444444444444,710,730,4.722222222222222,60.55555555555556,34.72222222222222,740,780,0.0,100.0,0.0,750,820
23,good,bad,good/bad,0.11630682684313288,0.009800661418752615,5056,3959,985,520,370,860,670,340,300,37.32,61.78,63.8,17.4,50.56,39.59,9.85,10000,67.5,28.055555555555557,4.444444444444445,130,80,27.037037037037038,68.42592592592592,4.537037037037037,230,160,42.5,40.27777777777778,17.22222222222222,310,240,35.74074074074074,49.25925925925926,15.0,450,330,0.0,100.0,0.0,500,430,27.40740740740741,43.05555555555556,29.537037037037038,570,520,87.5925925925926,11.203703703703704,1.2037037037037037,730,560,55.46296296296296,25.27777777777778,19.25925925925926,780,620,98.98148148148148,1.0185185185185186,0.0,850,640,100.0,0.0,0.0,860,670
27,good,bad,good/bad,0.15011925662237222,0.011812229130810387,5364,3676,960,520,340,860,640,340,300,65.2,32.0,42.08,41.52,53.64,36.76,9.6,10000,52.03703703703704,46.48148148148148,1.4814814814814814,120,110,86.29629629629629,13.703703703703704,0.0,210,120,67.12962962962963,32.407407407407405,0.46296296296296297,290,220,80.0925925925926,6.203703703703703,13.703703703703704,460,280,16.296296296296298,49.351851851851855,34.351851851851855,570,350,53.425925925925924,36.388888888888886,10.185185185185185,650,380,78.14814814814815,19.814814814814813,2.037037037037037,700,470,1.7592592592592593,71.57407407407408,26.666666666666668,740,530,35.55555555555556,64.44444444444444,0.0,820,640,100.0,0.0,0.0,860,640
30,good,bad,good/bad,0.10242026680949787,0.011063840681690315,3964,2713,3323,520,440,840,660,320,220,52.5,22.4,26.78,31.86,39.64,27.13,33.23,10000,35.18518518518518,35.0,29.814814814814813,110,110,85.74074074074075,14.25925925925926,0.0,300,130,43.425925925925924,0.0,56.574074074074076,380,190,2.7777777777777777,52.407407407407405,44.81481481481482,460,270,75.92592592592592,2.037037037037037,22.037037037037038,540,310,53.7037037037037,35.925925925925924,10.37037037037037,620,390,38.7962962962963,60.18518518518518,1.0185185185185186,730,500,15.555555555555555,42.407407407407405,42.03703703703704,760,590,15.925925925925926,8.981481481481481,75.0925925925926,830,650,0.0,0.0,100.0,840,660
33,good,bad,good/bad,0.11475240566805853,0.015061712759413473,4642,2710,2648,590,450,890,640,300,190,25.7,45.06,67.14,9.14,46.42,27.1,26.48,10000,1.9444444444444444,81.57407407407408,16.48148148148148,80,130,49.53703703703704,12.592592592592593,37.870370370370374,140,170,14.62962962962963,40.55555555555556,44.81481481481482,190,250,35.46296296296296,14.722222222222221,49.81481481481482,250,310,17.40740740740741,59.166666666666664,23.425925925925927,360,430,67.31481481481481,2.8703703703703702,29.814814814814813,500,490,54.44444444444444,11.018518518518519,34.53703703703704,620,530,87.96296296296296,4.814814814814815,7.222222222222222,740,600,98.79629629629629,0.0,1.2037037037037037,850,640,8.928571428571429,91.07142857142857,0.0,890,640
