episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
4,good,good,good/good,0.13994189383998967,0.1595090959562341,3755,3584,2661,580,670,830,890,250,220,43.96,39.0,31.14,32.68,37.55,35.84,26.61,10000,44.166666666666664,39.72222222222222,16.11111111111111,120,120,71.29629629629629,25.27777777777778,3.425925925925926,220,230,37.68518518518518,18.14814814814815,44.166666666666664,330,280,41.666666666666664,53.425925925925924,4.907407407407407,470,460,8.703703703703704,43.98148148148148,47.31481481481482,520,520,54.72222222222222,26.85185185185185,18.425925925925927,620,590,14.722222222222221,54.074074074074076,31.203703703703702,680,710,26.666666666666668,35.0,38.333333333333336,740,750,22.12962962962963,35.370370370370374,42.5,780,840,100.0,0.0,0.0,830,890
14,good,good,good/good,0.144905697746515,0.13833961372903894,4140,3554,2306,630,630,940,830,310,200,32.96,41.3,49.84,29.78,41.4,35.54,23.06,10000,0.0,57.68518518518518,42.31481481481482,110,170,20.925925925925927,23.703703703703702,55.370370370370374,180,260,13.61111111111111,69.25925925925925,17.12962962962963,250,330,30.833333333333332,34.166666666666664,35.0,350,370,87.22222222222223,6.388888888888889,6.388888888888889,500,490,8.88888888888889,37.22222222222222,53.888888888888886,540,530,74.62962962962963,25.27777777777778,0.09259259259259259,690,610,45.74074074074074,54.25925925925926,0.0,750,720,82.5,14.814814814814815,2.685185185185185,880,800,73.21428571428571,24.285714285714285,2.5,940,830
24,good,good,good/good,0.11843374811779904,0.18045882130156046,5054,3339,1607,510,700,820,960,310,260,60.3,25.2,40.78,41.58,50.54,33.39,16.07,10000,27.685185185185187,46.111111111111114,26.203703703703702,70,140,76.01851851851852,3.611111111111111,20.37037037037037,180,230,38.425925925925924,19.814814814814813,41.75925925925926,230,290,49.351851851851855,47.129629629629626,3.5185185185185186,310,430,87.68518518518519,0.0,12.314814814814815,390,500,29.814814814814813,62.129629629629626,8.055555555555555,500,600,90.64814814814815,7.5,1.8518518518518519,670,740,4.351851851851852,82.87037037037037,12.777777777777779,750,820,38.148148148148145,40.0,21.85185185185185,810,940,99.64285714285714,0.0,0.35714285714285715,820,960
28,good,good,good/good,0.1424086204235076,0.12329955430968229,3508,4661,1831,620,730,760,1190,140,460,45.46,45.9,24.7,47.32,35.08,46.61,18.31,10000,36.2037037037037,52.407407407407405,11.38888888888889,140,180,80.83333333333333,18.703703703703702,0.46296296296296297,240,240,47.22222222222222,17.77777777777778,35.0,310,330,46.2037037037037,45.27777777777778,8.518518518518519,390,470,0.0,78.33333333333333,21.666666666666668,480,570,19.814814814814813,57.870370370370374,22.314814814814813,530,750,14.166666666666666,60.925925925925924,24.90740740740741,600,900,17.87037037037037,39.44444444444444,42.68518518518518,680,1000,38.05555555555556,60.833333333333336,1.1111111111111112,750,1140,94.28571428571429,0.0,5.714285714285714,760,1190
29,good,good,good/good,0.16301843461634938,0.14829122193637964,3547,4337,2116,510,610,750,930,240,320,46.08,36.76,24.86,49.98,35.47,43.37,21.16,10000,27.037037037037038,40.46296296296296,32.5,90,170,16.85185185185185,15.462962962962964,67.68518518518519,180,230,40.18518518518518,47.129629629629626,12.685185185185185,250,310,60.833333333333336,37.129629629629626,2.037037037037037,340,410,68.42592592592592,30.0,1.5740740740740742,470,490,49.166666666666664,38.333333333333336,12.5,530,550,25.27777777777778,65.46296296296296,9.25925925925926,630,640,36.01851851851852,33.425925925925924,30.555555555555557,690,740,4.62962962962963,68.24074074074075,27.12962962962963,740,870,0.0,100.0,0.0,750,930
31,good,good,good/good,0.1618058230279442,0.15883205997895017,4535,2668,2797,620,670,970,830,350,160,76.0,17.34,14.7,36.02,45.35,26.68,27.97,10000,51.851851851851855,29.90740740740741,18.24074074074074,140,170,78.42592592592592,8.981481481481481,12.592592592592593,240,240,79.53703703703704,18.796296296296298,1.6666666666666667,350,270,72.12962962962963,20.185185185185187,7.685185185185185,500,370,69.9074074074074,2.4074074074074074,27.685185185185187,640,460,1.2037037037037037,16.203703703703702,82.5925925925926,710,500,21.296296296296298,67.5925925925926,11.11111111111111,800,630,29.62962962962963,9.537037037037036,60.833333333333336,890,740,0.0,63.425925925925924,36.574074074074076,960,820,61.42857142857143,38.57142857142857,0.0,970,830
35,good,good,good/good,0.14522276213896623,0.20183126000038432,3109,5000,1891,620,750,830,1080,210,330,49.3,36.64,12.88,63.36,31.09,50.0,18.91,10000,86.01851851851852,11.38888888888889,2.5925925925925926,110,120,19.35185185185185,54.907407407407405,25.74074074074074,210,240,4.444444444444445,62.5,33.05555555555556,260,380,99.9074074074074,0.0,0.09259259259259259,340,470,18.51851851851852,40.833333333333336,40.648148148148145,460,580,5.37037037037037,50.74074074074074,43.888888888888886,520,750,26.85185185185185,70.55555555555556,2.5925925925925926,640,830,7.5,85.37037037037037,7.12962962962963,730,970,0.0,80.92592592592592,19.074074074074073,810,1070,76.78571428571429,22.142857142857142,1.0714285714285714,830,1080
43,good,good,good/good,0.19261557695206602,0.14060853579686697,2956,5053,1991,570,670,750,940,180,270,32.54,57.12,26.58,43.94,29.56,50.53,19.91,10000,42.68518518518518,47.31481481481482,10.0,130,120,4.62962962962963,75.37037037037037,20.0,180,220,0.0,81.94444444444444,18.055555555555557,250,280,46.48148148148148,40.18518518518518,13.333333333333334,360,390,56.851851851851855,19.62962962962963,23.51851851851852,490,490,39.44444444444444,50.092592592592595,10.462962962962964,560,540,51.111111111111114,34.25925925925926,14.62962962962963,580,680,17.40740740740741,8.425925925925926,74.16666666666667,690,730,9.444444444444445,90.37037037037037,0.18518518518518517,740,870,21.785714285714285,78.21428571428571,0.0,750,940
52,good,good,good/good,0.22716410758724181,0.13985034198077334,5587,2745,1668,660,760,940,980,280,220,51.2,37.44,60.54,17.46,55.87,27.45,16.68,10000,44.629629629629626,45.925925925925924,9.444444444444445,130,160,70.55555555555556,19.537037037037038,9.907407407407407,240,230,55.55555555555556,32.03703703703704,12.407407407407407,330,290,19.25925925925926,46.574074074074076,34.166666666666664,430,430,47.03703703703704,29.25925925925926,23.703703703703702,500,500,72.68518518518519,13.796296296296296,13.518518518518519,590,630,92.5925925925926,4.166666666666667,3.240740740740741,740,690,83.14814814814815,1.6666666666666667,15.185185185185185,820,780,31.85185185185185,53.148148148148145,15.0,900,940,0.0,31.071428571428573,68.92857142857143,940,980
55,good,good,good/good,0.12453321513905227,0.19765175802407625,3821,3280,2899,510,720,830,890,320,170,38.12,38.44,38.3,27.16,38.21,32.8,28.99,10000,23.61111111111111,17.037037037037038,59.351851851851855,70,140,53.425925925925924,13.148148148148149,33.425925925925924,230,250,64.35185185185185,34.907407407407405,0.7407407407407407,310,320,35.092592592592595,51.666666666666664,13.24074074074074,440,480,0.0,61.2037037037037,38.7962962962963,490,520,43.425925925925924,41.01851851851852,15.555555555555555,590,590,10.925925925925926,25.64814814814815,63.425925925925924,640,720,43.51851851851852,36.01851851851852,20.462962962962962,750,750,55.46296296296296,23.055555555555557,21.48148148148148,820,880,92.5,0.0,7.5,830,890
